product_name, currentprice 
EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR BLACK EDITION GAMING Video Card| Dual HDB Fans & RGB LED,1.099
MSI GeForce RTX 2080 GAMING X TRIO Video Card,664
GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card| GV-N207SWF3OC-8GD,499
ASUS TUF Gaming X3 AMD Radeon RX 5700 XT Overclocked 8G GDDR6 Gaming Graphics Card (TUF 3-RX5700XT-O8G-GAMING),389
SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR Video Card,449
ASUS TUF Gaming X3 AMD Radeon RX 5700 Overclocked 8G GDDR6 Gaming Graphics Card (TUF 3-RX5700-O8G-GAMING),349
EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING| 08G-P4-3173-KR,529
ZOTAC GeForce RTX 2070 DirectX 12 ZT-T20700E-10P Video Card,399
GIGABYTE GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card| 2 x WINDFORCE Fans| GV-N2070WF2-8GD (Rev 3.0),399
XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,129
ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,209
ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ Video Card,479
